Date,BTC,Oil,Gold,INR
2023-10-30,34502.36328125,82.30999755859375,1996.199951171875,83.41339874267578
2023-10-31,34667.78125,81.0199966430664,1985.199951171875,83.29650115966797
2023-11-01,35437.25390625,80.44000244140625,1978.800048828125,83.2771987915039
2023-11-02,34938.2421875,82.45999908447266,1985.5999755859375,85.19400024414062
2023-11-03,34732.32421875,80.51000213623047,1991.5,83.24729919433594
2023-11-06,35037.37109375,80.81999969482422,1981.5999755859375,83.15850067138672
2023-11-07,35443.5625,77.37000274658203,1966.800048828125,83.2228012084961
2023-11-08,35655.27734375,75.33000183105469,1951.5,83.23269653320312
2023-11-09,36693.125,75.73999786376953,1964.199951171875,83.21769714355469
2023-11-10,37313.96875,77.16999816894531,1932.5999755859375,83.31939697265625
2023-11-13,36502.35546875,78.26000213623047,1945.5,83.29889678955078
2023-11-14,35537.640625,78.26000213623047,1961.800048828125,83.19760131835938
2023-11-15,37880.58203125,76.66000366210938,1960.0999755859375,82.98159790039062
2023-11-16,36154.76953125,72.9000015258789,1983.9000244140625,83.18620300292969
2023-11-17,36596.68359375,75.88999938964844,1981.5999755859375,83.12030029296875
2023-11-20,37476.95703125,77.5999984741211,1977.699951171875,83.29149627685547
2023-11-21,35813.8125,77.7699966430664,1999.300048828125,83.32219696044922
2023-11-22,37432.33984375,77.0999984741211,1991.4000244140625,83.345703125
2023-11-23,37289.62109375,,,83.54830169677734
2023-11-24,37720.28125,75.54000091552734,2002.199951171875,83.34400177001953
2023-11-27,37254.16796875,74.86000061035156,2011.800048828125,83.31449890136719
2023-11-28,37831.0859375,76.41000366210938,2039.699951171875,83.364501953125
2023-11-29,37858.4921875,77.86000061035156,2047.0999755859375,83.41809844970703
2023-11-30,37712.74609375,75.95999908447266,2038.0999755859375,83.3302993774414
2023-12-01,38688.75,74.06999969482422,2071.0,83.35269927978516
2023-12-04,41980.09765625,73.04000091552734,2024.0999755859375,83.21859741210938
2023-12-05,44080.6484375,72.31999969482422,2018.5,83.41709899902344
2023-12-06,43746.4453125,69.37999725341797,2030.5,83.31590270996094
2023-12-07,43292.6640625,69.33999633789062,2029.9000244140625,83.28959655761719
2023-12-08,44166.6015625,71.2300033569336,1998.300048828125,83.35489654541016
2023-12-11,41243.83203125,71.31999969482422,1978.0,83.43009948730469
2023-12-12,41450.22265625,68.61000061035156,1977.800048828125,83.34349822998047
2023-12-13,42890.7421875,69.47000122070312,1982.300048828125,83.39600372314453
2023-12-14,43023.97265625,71.58000183105469,2030.199951171875,83.2853012084961
2023-12-15,41929.7578125,71.43000030517578,2021.0999755859375,83.29660034179688
2023-12-18,42623.5390625,72.47000122070312,2026.300048828125,83.04170227050781
2023-12-19,42270.52734375,73.44000244140625,2038.4000244140625,83.11119842529297
2023-12-20,43652.25,74.22000122070312,2034.5,83.09159851074219
2023-12-21,43869.15234375,73.88999938964844,2039.0999755859375,83.26719665527344
2023-12-22,43997.90234375,73.55999755859375,2057.10009765625,83.13159942626953
2023-12-25,43613.140625,,,83.16500091552734
2023-12-26,42520.40234375,75.56999969482422,2058.199951171875,83.17230224609375
2023-12-27,43442.85546875,74.11000061035156,2081.89990234375,83.18280029296875
2023-12-28,42627.85546875,71.7699966430664,2073.89990234375,83.26719665527344
2023-12-29,42099.40234375,71.6500015258789,2062.39990234375,82.302001953125
2024-01-01,44167.33203125,,,83.24859619140625
2024-01-02,44957.96875,70.37999725341797,2064.39990234375,83.20259857177734
2024-01-03,42848.17578125,72.69999694824219,2034.199951171875,83.25700378417969
2024-01-04,44179.921875,72.19000244140625,2042.300048828125,83.31809997558594
2024-01-05,44162.69140625,73.80999755859375,2042.4000244140625,83.2406005859375
2024-01-08,46970.50390625,70.7699966430664,2026.5999755859375,83.19110107421875
2024-01-09,46139.73046875,72.23999786376953,2026.4000244140625,83.05069732666016
2024-01-10,46627.77734375,71.37000274658203,2021.699951171875,83.131103515625
2024-01-11,46368.5859375,72.0199966430664,2014.300048828125,83.02559661865234
2024-01-12,42853.16796875,72.68000030517578,2046.699951171875,83.07610321044922
2024-01-15,42511.96875,,,82.87210083007812
2024-01-16,43154.9453125,72.4000015258789,2026.0,82.8593978881836
2024-01-17,42742.65234375,72.55999755859375,2002.5999755859375,83.08899688720703
2024-01-18,41262.05859375,74.08000183105469,2018.5999755859375,83.17759704589844
2024-01-19,41618.40625,73.41000366210938,2026.5,83.16059875488281
2024-01-22,39507.3671875,75.19000244140625,2019.800048828125,83.12470245361328
2024-01-23,39845.55078125,74.37000274658203,2023.699951171875,83.09510040283203
2024-01-24,40077.07421875,75.08999633789062,2013.9000244140625,83.22139739990234
2024-01-25,39933.80859375,77.36000061035156,2016.9000244140625,83.09760284423828
2024-01-26,41816.87109375,78.01000213623047,2016.800048828125,83.14610290527344
2024-01-29,43288.24609375,76.77999877929688,2025.199951171875,83.12129974365234
2024-01-30,42952.609375,77.81999969482422,2031.5,83.1530990600586
2024-01-31,42582.60546875,75.8499984741211,2048.39990234375,83.10970306396484
2024-02-01,43075.7734375,73.81999969482422,2053.0,83.05359649658203
2024-02-02,43185.859375,72.27999877929688,2036.0999755859375,82.92759704589844
2024-02-05,42658.66796875,72.77999877929688,2025.699951171875,82.99929809570312
2024-02-06,43084.671875,73.30999755859375,2034.5,83.10369873046875
2024-02-07,44318.22265625,73.86000061035156,2035.199951171875,83.07060241699219
2024-02-08,45301.56640625,76.22000122070312,2032.199951171875,83.01260375976562
2024-02-09,47147.19921875,76.83999633789062,2023.300048828125,82.98529815673828
2024-02-12,49958.22265625,76.91999816894531,2018.199951171875,83.0145034790039
2024-02-13,49742.44140625,77.87000274658203,1992.9000244140625,82.99019622802734
2024-02-14,51826.6953125,76.63999938964844,1990.300048828125,83.07460021972656
2024-02-15,51938.5546875,78.02999877929688,2002.0999755859375,83.04309844970703
2024-02-16,52160.203125,79.19000244140625,2011.5,83.00959777832031
2024-02-19,51779.14453125,,,83.01599884033203
2024-02-20,52284.875,78.18000030517578,2027.5,83.02100372314453
2024-02-21,51839.1796875,77.91000366210938,2022.300048828125,82.8291015625
2024-02-22,51304.97265625,78.61000061035156,2019.699951171875,82.93840026855469
2024-02-23,50731.94921875,76.48999786376953,2038.5999755859375,82.87229919433594
2024-02-26,54522.40234375,77.58000183105469,2028.5,82.88179779052734
2024-02-27,57085.37109375,78.87000274658203,2034.0,82.85199737548828
2024-02-28,62504.7890625,78.54000091552734,2033.0,82.94819641113281
2024-02-29,61198.3828125,78.26000213623047,2045.699951171875,82.91190338134766
2024-03-01,62440.6328125,79.97000122070312,2086.89990234375,82.910400390625
2024-03-04,68330.4140625,78.73999786376953,2117.699951171875,82.84609985351562
2024-03-05,63801.19921875,78.1500015258789,2133.5,82.9104995727539
2024-03-06,66106.8046875,79.12999725341797,2150.300048828125,82.88480377197266
2024-03-07,66925.484375,78.93000030517578,2158.0,82.81909942626953
2024-03-08,68300.09375,78.01000213623047,2178.60009765625,82.7522964477539
2024-03-11,72123.90625,77.93000030517578,2182.5,82.7520980834961
2024-03-12,71481.2890625,77.55999755859375,2160.39990234375,82.7782974243164
2024-03-13,73083.5,79.72000122070312,2175.39990234375,82.83509826660156
2024-03-14,71396.59375,81.26000213623047,2163.0,82.83110046386719
2024-03-15,69403.7734375,81.04000091552734,2157.300048828125,82.9655990600586
